"V1"	"V2"	"V3"
"1"	16294	15484	15947
"2"	1818	456	10899
"3"	9884	7130	11933
"4"	8561	11502	543
"5"	5046	6662	5486
"6"	9570	3553	2021
"7"	7497	7492	8569
"8"	1651	14822	9278
"9"	1951	1680	20
"10"	12572	3889	14003
"11"	14944	8311	13490
"12"	6394	2830	14944
"13"	14608	15115	12572
"14"	4914	2878	9708
"15"	10050	15073	5081
"16"	1792	13905	8592
"17"	14088	508	3178
"18"	7222	4092	14476
"19"	15468	2848	13416
"20"	14633	3510	15123
"21"	14984	9934	9844
"22"	14984	9934	9844
"23"	7329	5034	3676
"24"	16076	10413	14984
"25"	16046	28	1748
"26"	3439	1986	7994
"27"	7314	12778	12301
"28"	11604	2991	7269
"29"	8561	11502	543
"30"	1938	1932	1927
"31"	1628	6433	3279
"32"	589	9887	3085
"33"	14633	13732	15123
"34"	10720	9363	16237
"35"	3228	7822	4108
"36"	4984	2293	2819
"37"	1415	4615	3384
"38"	1825	1091	9806
"39"	883	2955	193
"40"	3391	9169	2093
"41"	7363	4837	7271
"42"	3228	7822	4676
"43"	1927	5959	3656
"44"	10542	3973	7735
"45"	551	1950	11373
"46"	7382	16294	4841
"47"	9626	15185	15522
"48"	1558	14201	9389
"49"	685	14984	687
"50"	14984	2365	9934
"51"	2126	2831	4699
"52"	3415	11587	5268
"53"	11604	6021	10030
"54"	1503	8247	13341
"55"	15783	4879	15958
"56"	1539	3602	9068
"57"	1951	4973	13057
"58"	6965	4376	6795
"59"	13288	589	5927
"60"	13245	15736	7243
"61"	10551	14984	16079
"62"	12083	9006	2126
"63"	13443	13288	9354
"64"	16046	14984	5305
"65"	13288	6838	5927
"66"	16046	2715	11833
"67"	16046	1204	1975
"68"	8419	14633	10772
"69"	14166	16938	8538
"70"	11918	4858	9515
"71"	9393	922	1010
"72"	10696	184	13444
"73"	3935	2831	15
"74"	15457	195	6932
"75"	12619	8836	3743
"76"	1539	14982	1587
"77"	7301	11933	4318
"78"	16294	15484	4654
"79"	13382	15366	12479
"80"	10166	3521	14633
"81"	4598	4478	978
"82"	13245	15736	7243
"83"	16046	3857	5135
"84"	344	3510	9468
"85"	10050	15073	9184
"86"	329	5712	1166
"87"	3415	7801	2380
"88"	1825	9806	2115
"89"	7363	4368	7492
"90"	5034	7329	1365
"91"	227	16185	3429
"92"	4368	5874	13756
"93"	7314	12205	2720
"94"	16046	1825	12054
"95"	312	177	5976
"96"	16046	4837	8442
"97"	3818	683	7130
"98"	1825	1091	9806
"99"	9717	1054	7280
"100"	11933	7301	10617
"101"	14984	9934	9844
"102"	1825	9806	1091
"103"	404	2018	9234
"104"	10050	15073	10506
"105"	1818	7735	16718
"106"	11311	6687	5206
"107"	15872	12446	12315
"108"	2126	5268	10444
"109"	6	1680	488
"110"	1818	456	10899
"111"	14166	11418	835
"112"	1116	12121	16395
"113"	4809	1365	1422
"114"	16076	10720	10413
"115"	3415	7801	7318
"116"	184	10696	11833
"117"	13172	1161	6
"118"	16076	10413	6496
"119"	5	671	691
"120"	9134	7994	3439
"121"	823	7681	2279
"122"	14480	13926	9642
"123"	14610	16166	5411
"124"	12416	2287	15457
"125"	1949	7363	3052
"126"	16076	10413	5581
"127"	16059	16904	16559
"128"	1415	5305	6411
"129"	15984	16085	15102
"130"	11756	719	2188
"131"	14984	3394	9934
"132"	11311	6687	15524
"133"	16076	10413	9480
"134"	799	7343	11081
"135"	12054	9812	6016
"136"	4710	9101	9898
"137"	13245	15736	10410
"138"	5046	5500	6662
"139"	14285	2504	14698
"140"	1792	13905	8592
"141"	15344	15310	16520
"142"	2477	14496	14252
"143"	10928	6655	11272
"144"	14633	15123	13732
"145"	858	7379	2126
"146"	1503	6721	8247
"147"	7329	5034	1365
"148"	8994	15944	13179
"149"	3024	13579	4539
"150"	14633	15123	551
"151"	3510	4487	3645
"152"	4487	3645	1116
"153"	10914	11441	10619
"154"	551	14633	11373
"155"	10696	184	13444
"156"	1	12868	11145
"157"	3228	7822	4108
"158"	16926	8769	2604
"159"	28	14984	486
"160"	10985	9079	16817
"161"	15841	1233	1450
"162"	4911	16046	4351
"163"	10542	13722	13172
"164"	10050	15073	2293
"165"	11081	7343	799
"166"	4351	7219	16636
"167"	14610	16166	6875
"168"	1486	5691	2715
"169"	7193	13288	4298
"170"	7735	1347	12416
"171"	3429	16185	6322
"172"	12697	5081	1875
"173"	14633	13732	15123
"174"	7329	1365	5034
"175"	16046	5938	13577
"176"	1046	441	5305
"177"	1214	2222	38
"178"	5305	6411	16042
"179"	5712	329	8574
"180"	12572	14004	3354
"181"	572	6660	9563
"182"	2188	11756	719
"183"	1	12868	11145
"184"	14984	9934	685
"185"	11081	799	7343
"186"	3228	7822	4108
"187"	14633	15123	8421
"188"	16387	7382	16076
"189"	9654	4456	5874
"190"	1825	9806	2115
"191"	14088	508	3178
"192"	12641	2907	2136
"193"	1116	13460	10642
"194"	11833	2715	8234
"195"	64	14956	7051
"196"	14610	16166	14794
"197"	6011	3461	7725
"198"	12054	9812	6016
"199"	7222	4589	4092
"200"	1221	2782	12983
"201"	13382	15366	12479
"202"	16076	10413	10021
"203"	11961	8312	5006
"204"	15777	14588	2582
"205"	16717	14704	15119
"206"	3391	9169	2093
"207"	16424	12478	15984
"208"	5135	9787	14422
"209"	7222	4092	4589
"210"	6795	4376	10868
"211"	3880	2746	844
"212"	4456	9654	9768
"213"	14984	9934	9844
"214"	10050	15073	2376
"215"	9134	1986	7994
"216"	1551	12868	1
"217"	9570	3553	2021
"218"	16185	3429	6322
"219"	2126	4699	4651
"220"	16046	3415	7801
"221"	15457	195	6932
"222"	13759	4381	12868
"223"	6348	448	16046
"224"	4487	3645	7279
"225"	9278	14822	4961
"226"	16185	10985	3429
"227"	1365	5034	3676
"228"	10542	4344	15295
"229"	62	3648	6652
"230"	13245	15736	8592
"231"	1951	1680	20
"232"	16046	5938	5189
"233"	9616	2899	7232
"234"	6986	9780	14215
"235"	14984	9934	9844
"236"	8543	11830	11330
"237"	14984	9934	9844
"238"	1896	1682	6829
"239"	4710	9101	9898
"240"	7222	4092	16952
"241"	4837	11915	12232
"242"	7301	11933	3027
"243"	12619	8836	3743
"244"	13496	13374	6472
"245"	14633	13732	15123
"246"	14984	64	4142
"247"	12898	5258	9608
"248"	2126	4699	15786
"249"	14166	11418	837
"250"	551	11373	7270
"251"	16237	9363	12892
"252"	756	3678	284
"253"	9015	1004	10887
"254"	4351	3089	5682
"255"	14978	8631	7419
"256"	13460	16962	16317
"257"	12478	8707	7189
"258"	989	1013	12395
"259"	28	486	8327
"260"	6917	8738	6805
"261"	5305	6411	3098
"262"	329	2324	5712
"263"	4101	11364	10025
"264"	11933	7301	9884
"265"	14984	9934	9844
"266"	12778	7314	12301
"267"	7382	10939	8719
"268"	9887	589	626
"269"	2477	14496	14252
"270"	4794	312	3818
"271"	5896	1510	12398
"272"	1682	10418	1896
"273"	10551	16079	16630
"274"	12709	6472	13496
"275"	9570	3553	2021
"276"	7382	15650	8719
"277"	7301	11933	3027
"278"	3415	7801	16046
"279"	1503	5445	14647
"280"	5332	4837	4832
"281"	9570	3553	2021
"282"	11126	10631	2697
"283"	14633	13732	15123
"284"	14389	9355	1435
"285"	7745	5792	2264
"286"	404	4639	2427
"287"	551	11373	3429
"288"	11081	799	7343
"289"	12478	8707	1558
"290"	5439	7070	4967
"291"	8208	12478	8707
"292"	5000	7766	8823
"293"	5390	404	2018
"294"	177	3717	312
"295"	7222	4092	4589
"296"	16076	10413	9480
"297"	8419	10772	13220
"298"	8543	11330	11830
"299"	3415	7801	4815
"300"	858	7379	741
"301"	10413	16076	16046
"302"	8738	6917	6805
"303"	12479	13382	13772
"304"	2247	7492	7497
"305"	3553	9570	2021
"306"	9600	5439	6117
"307"	14480	12288	13926
"308"	16076	7382	10413
"309"	5332	4832	7122
"310"	10696	184	13444
"311"	2093	9169	1499
"312"	14608	14097	3510
"313"	6795	4376	10868
"314"	16076	10413	13061
"315"	14633	15123	13732
"316"	9633	6581	10916
"317"	2504	14698	14285
"318"	10542	4344	15295
"319"	16185	10166	3521
"320"	12478	8707	1
"321"	5663	9887	12134
"322"	12572	8862	2506
"323"	6986	15782	16602
"324"	8631	7419	6272
"325"	14912	15119	15680
"326"	14944	2446	8311
