iter time likelihood converge
0001 000187 -21067.03505 1.0000000000
0002 000337 -20682.90954 0.0182334872
0003 000477 -20596.71722 0.0041673206
0004 000638 -20560.70594 0.0017483990
0005 000809 -20541.08799 0.0009541479
0006 000983 -20527.98123 0.0006380750
0007 001151 -20517.62852 0.0005043219
0008 001294 -20508.52390 0.0004437463
0009 001425 -20500.18818 0.0004064516
0010 001564 -20492.60388 0.0003699622
0011 001726 -20485.87463 0.0003283746
0012 001908 -20480.05076 0.0002842871
0013 002061 -20475.09028 0.0002422106
0014 002203 -20470.88879 0.0002052000
0015 002427 -20467.32116 0.0001742784
0016 002628 -20464.26978 0.0001490853
0017 002867 -20461.63696 0.0001286545
0018 003148 -20459.34664 0.0001119322
0019 003390 -20457.34121 0.0000980205
